_id,Country,State,City,Name,Operator,Status,Address,Power,Size,Established,Latitude,Longitude,Geocode_Level
0,USA,Texas,Dickens,Helios Data Center,Galaxy,,"984 Co Rd 112, Afton, Texas 79220",800 MW,,,33.780636279018,-100.867099886006,address
1,USA,Texas,Fort Stockton,Fort Stockton Clean Campus,Lancium,,"1753 US Hwy 285, Fort Stockton, Texas 79735",325 MW,,,30.905622840006,-102.917046491409,address
2,USA,Texas,Fort Stockton,Project Horizon,Poolside AI,Planned,"5432 Farm-to-Market 1053, Fort Stockton, Texas 79735",2000 MW,,,30.963485361301,-102.848175017942,address
3,USA,Texas,Montgomery Tx,Data Journey The Bunker,Data Journey,,"550 Club Dr., Montgomery, Texas 77316",200 MW,"70,000 sq.f.",1981,30.376981,-95.669244,address
4,USA,Texas,Eagle Pass,MDC Eagle Pass - EGP1,MDC Data Centers,,"464 Bliss St, Eagle Pass, Texas 78852",0.5 MW,"1,500 sq.f.",2023,28.702366731639,-100.502760742633,address
5,USA,Texas,Austin,Data Foundry - Austin 1,Data Foundry,,"7401 East Ben White Blvd, Austin, Texas 78741",,"21,133 sq.f.",2003,30.216361599358,-97.695677121341,address
6,USA,Texas,Austin,Iron Mountain Data Centers Hutto-1,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
7,USA,Texas,Austin,Iron Mountain Data Centers Hutto-4,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
8,USA,Texas,Austin,Bestline Communications,"Bestline Communications, L.P.",,"500 N Capital of Texas Hwy, Bldg 8-200, Austin, Texas 78746",,,,30.309479173212,-97.82620821451,address
9,USA,Texas,Austin,LightEdge - Austin II,LightEdge,,"7000 Burleson Road, Suite 400, Austin, Texas 78744",,,1994,30.199440814924,-97.707103330097,address
10,USA,Texas,Austin,American Tower EDC Austin,American Tower Corporation,,"1601 West 10th Street, Austin, Texas 78703",,,,30.279077093084,-97.759985944263,address
11,USA,Texas,Austin,Project Comal - Bldg 2,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
12,USA,Texas,Austin,Project Comal - Bldg 1,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
13,USA,Texas,Austin,Project Comal - Bldg 3,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
14,USA,Texas,Austin,LightEdge - Austin I,LightEdge,,"2916 Montopolis Drive, Suite 300, Austin, Texas 78741",,,1994,30.214760806278,-97.710875160021,address
15,USA,Texas,Austin,LOGIX Austin,LOGIX FIBER NETWORKS,,"1905 E. 6th Street, Austin, Texas 78702",,,,30.261601136225,-97.722423130259,address
16,USA,Texas,Austin,3911 County Road 305,Unknown Company,Planned,"3911 County Rd 305, Jarrell, Texas 76537",200 MW,,,30.82336852273,-97.642366017923,address
17,USA,Texas,Austin,Rowan Temple,Rowan Digital Infrastructure,Under Construction,"1707-2351 Bob White Rd, Temple, Texas 76501",300 MW,,2027,31.060631170112,-97.296574294952,address
18,USA,Texas,Austin,6682 Farm to Market 535,EdgeConneX,Land Banked,"6682 Farm to Market 535, Bastrop, Texas 78602",,,,30.223530,-97.282650,address
19,USA,Texas,Austin,Rowan Moriah Campus,Rowan Digital Infrastructure,,"2810 Bob White Rd, Temple, Texas 76501",300 MW,,,31.055840976423,-97.297274429563,address
20,USA,Texas,Austin,Riot Patforms Rockdale,"Riot Platforms, Inc.",,"2721 Charles Martin Hall Rd, Thorndale, Texas 76577",700 MW,,2023,30.575900,-97.078860,address
21,USA,Texas,Austin,Project Comal - Bldg 4,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
22,USA,Texas,Austin,Project Comal - Bldg 6,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
23,USA,Texas,Austin,Switch THE ROCK Campus,Switch,Planned,"150 Dell Way, Round Rock, Texas 78682",,,,30.487726,-97.672385,address
24,USA,Texas,Austin,Lumen Austin 4,Lumen,,"2916 Montopolis Dr, Austin, Texas 78741",,,,30.214760806278,-97.710875160021,address
25,USA,Texas,Austin,Data Foundry - The Data Ranch,Data Foundry,,"4100 Smith School Rd, Austin, Texas 78744",60 MW,295000 sq.f.,2011,30.197766393958,-97.71301227238,address
26,USA,Texas,Austin,Lumen Austin 3,Lumen,,"500 B. Chicon Street, Austin, Texas 78702",,,,30.260804808712,-97.722993534053,address
27,USA,Texas,Austin,904 Francis Harris Lane,Unknown Company,Canceled,"904 Francis Harris Ln, San Marcos, Texas 78666",,,,29.789950,-97.995680,address
28,USA,Texas,Austin,Project Comal - Bldg 5,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",,,,30.545228037591,-97.454235383065,address
29,USA,Texas,Austin,Project Comal Campus,KDC,Planned,"1051 County Road 401, Taylor, Texas 76574",360 MW,,,30.545228037591,-97.454235383065,address
30,USA,Texas,Austin,GTT Austin Data Center,GTT Communications,,"6200 Bridgepoint Parkway, Austin, Texas 78730",,,,30.353893233353,-97.800376577238,address
31,USA,Texas,Austin,Data Foundry - Texas 2,Data Foundry,,"4100 Smith School Rd, Bldg 2, Austin, Texas 78744",36 MW,"165,000 sq.f.",2018,30.197766393958,-97.71301227238,address
32,USA,Texas,Austin,SDC Austin - Building B,Sabey Data Center Properties LLC,Under Construction,"1300 Louis Henna Blvd, Round Rock, Texas 78664",54 MW,,,30.48575752775,-97.650967159813,address
33,USA,Texas,Austin,SDC Austin - Building A,Sabey Data Center Properties LLC,,"1300 Louis Henna Blvd, Round Rock, Texas 78664",,,,30.48575752775,-97.650967159813,address
34,USA,Texas,Austin,Lumen Austin 1,Lumen,,"4207 Smith School Road, Austin, Texas 78744",,,,30.197148070908,-97.713506169284,address
35,USA,Texas,Austin,Cogent Data Center - Austin,"Cogent Communications, Inc.",,"7301 Metro Center Dr, Suite 100, Austin, Texas 78744",6 MW,23227 sq.f.,,30.211256894176,-97.69760092566,address
36,USA,Texas,Austin,Iron Mountain Data Centers Hutto Campus,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
37,USA,Texas,Austin,Thin-nology Data Center,Thin-nology LLC,,"3804 Helios Way, Pflugerville, Texas 78660",2 MW,"5,200 sq.f.",,30.420648691963,-97.59230707894,address
38,USA,Texas,Austin,Data Canopy - Austin Trade Center,Data Canopy,,"6110 Trade Center Dr, Ste 100, Austin, Texas 78744",,60000 sq.f.,,30.20942207169,-97.716848600335,address
39,USA,Texas,Austin,CyrusOne AUS3 - Austin,CyrusOne Data Centers,,"7100 Metropolis Drive, Austin, Texas 78744",24 MW,"120,000 sq.m.",,30.20401267677,-97.706257032126,address
40,USA,Texas,Austin,Iron Mountain Data Centers Hutto-2,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
41,USA,Texas,Austin,Bitdeer Texas,Bitdeer Technologies Group,,"3291 Charles Martin Hall Rd, Rockdale, Texas 76567",563 MW,,2019,30.569703,-97.073108,address
42,USA,Texas,Austin,Data Canopy - Austin Waller,Data Canopy,,"501 Waller St, Austin, Texas 78702",2 MW,"21,000 sq.f.",2004,30.263543618502,-97.730856606766,address
43,USA,Texas,Austin,Blueprint Taylor DC,Blueprint Data Centers,Planned,"1601 E M.L.K. Jr Blvd, Taylor, Texas 76574",60 MW,135000 sq.f.,,30.565926,-97.398167,address
44,USA,Texas,Austin,Skybox Round Rock,Skybox Datacenters,Planned,"2501-2701 E Old Settlers Blvd, Round Rock, Texas 78665",75 MW,250000 sq.f.,,30.543346,-97.648222,address
45,USA,Texas,Austin,Tract Uhland,Tract,Land Banked,"Farm to Market Road 2720, Uhland, Texas 78640",,,,29.969438,-97.638796,address
46,USA,Texas,Austin,7500 Metro Center Drive (AUS11),Digital Realty,,"7500 Metro Center Drive, Austin, Texas 78744",4.2 MW,"31,600 sq.f.",2001,30.211550287659,-97.695618461923,address
47,USA,Texas,Austin,Skybox Austin,Skybox Datacenters,,"600 New Meister Ln, Pflugerville, Texas 78660",30 MW,"53,245 sq.f.",,30.482199,-97.623078,address
48,USA,Texas,Austin,Blueprint Georgetown DC,Blueprint Data Centers,Planned,"1201 Westinghouse Rd, Georgetown, Texas 78626",25 MW,45000 sq.f.,,30.585200,-97.675094,address
49,USA,Texas,Austin,Iron Mountain Data Centers Hutto-5,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
50,USA,Texas,Austin,Colovore Hutto,Colovore,Planned,"2351 Innovation Blvd, Hutto, Texas 78634",,180000 sq.f.,,30.547095408563,-97.572827769315,address
51,USA,Texas,Austin,Core Scientific Austin,Core Scientific,,"3301 Hibbetts Rd, Austin, Texas 78725",16 MW,"118,000 sq.f.",2024,30.267053061703,-97.66983269128,address
52,USA,Texas,Austin,Iron Mountain Data Centers Hutto-3,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
53,USA,Texas,Austin,CyrusOne AUS2 - Austin,CyrusOne Data Centers,,"7301 Metropolis Dr, Bldg #6, Austin, Texas 78703",9 MW,"41,000 sq.f.",,30.203936675028,-97.706157799188,address
54,USA,Texas,Austin,Element Critical Austin One,Element Critical,,"8025 North Interstate Hwy 35, Austin, Texas 78753",5 MW,"62,300 sq.f.",,30.342695,-97.696266,address
55,USA,Texas,Austin,DataBank AUS1 - Austin,DataBank,,"7218 McNeil Dr, Suite 300, Austin, Texas 78729",0.405 MW,"7,870 sq.f.",,30.435717631293,-97.765596986917,address
56,USA,Texas,Austin,EdgeConneX Austin - EDCAUS02,EdgeConneX,Planned,"8001 Wolf Ln, Cedar Creek, Texas 78612",240 MW,,,30.086313,-97.501342,address
57,USA,Texas,Austin,Connect Temple,Connect Data Centers by Oppidan,Planned,"2325 Eberhardt Rd, Temple, Texas 76504",5 MW,61500 sq.f.,2026,31.126053978386,-97.359815756944,address
58,USA,Texas,Austin,Lumen Austin 2,Lumen,,"1825-A Kramer Lane, Austin, Texas 78758",,,,30.386873930732,-97.706675700779,address
59,USA,Texas,Austin,SDC Austin Campus,Sabey Data Center Properties LLC,,"1300 Louis Henna Blvd, Round Rock, Texas 78664",84 MW,430000 sq.f.,,30.48575752775,-97.650967159813,address
60,USA,Texas,Austin,Project Hutto,Zydeco Development,Planned,"Co Rd 119 & Limmer Loop, Hutto, Texas 78634",70 MW,,,30.557163720981,-97.55913290567,address
61,USA,Texas,Austin,Data Foundry - Texas 1,Data Foundry,,"4100 Smith School Road, Bldg 1, Austin, Texas 78744",24 MW,130000 sq.f.,2011,30.197766393958,-97.71301227238,address
62,USA,Texas,Austin,SDC San Marcos,Sabey Data Center Properties LLC,Planned,"Center Point Rd & S Old Bastrop Hwy, San Marcos, Texas 78666",,,,29.812865,-97.967742,address
63,USA,Texas,Austin,Prime Austin,Prime Data Centers,Land Banked,"FM2720 & Bobwhite Rd, Maxwell, Texas 78656",,,,29.924319852341,-97.754329387351,address
64,USA,Texas,Austin,Iron Mountain Data Centers Hutto-6,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
65,USA,Texas,Austin,Iron Mountain Data Centers Hutto-7,Iron Mountain Data Centers,Planned,"County Rd 404, Hutto, Texas 76574",,,,30.488669,-97.499271,address
66,USA,Texas,The Woodlands,Optiquest Datacenter,Optimum Computer Solutions (OCS),,"780 Westridge Dr, Spring, Texas 77380",,,,30.120760112429,-95.454752957833,address
67,USA,Texas,San Angelo,"SANG-TX (San Angelo, Texas)",Cloudnium LLC.,,"2701 S Johnson St., San Angelo, Texas 76904",7.8 MW,,2023,31.432761372099,-100.463103298553,address
68,USA,Texas,San Angelo,Skybox San Angelo,Skybox Datacenters,Planned,"North US Highway 67, San Angelo, Texas 76905",,,,31.544369,-100.313645,address
69,USA,Texas,Bryan,"FIBERTOWN - Bryan, Texas",FIBERTOWN,,"110 North Main, Bryan, Texas 77803",,"25,000 sq.f.",1997,30.673880332439,-96.373411075559,address
70,USA,Texas,Tyler,Tyler Vault Data Center,Tyler Vault.com,,"110 N College Ave, Tyler, Texas 75702",,"1,100 sq.f.",,32.350892905521,-95.301708705577,address
71,USA,Texas,Tyler,Barrio Energy - Tyler,Barrio Energy,Under Construction,"1105 W Erwin St, Tyler, Texas 75702",12 MW,,,32.350738743907,-95.312443116177,address
72,USA,Texas,Sweetwater,IREN Sweetwater 2,IREN (Iris Energy),Under Construction,"1782 Farm-to-Market 540, Hamlin, Texas 79520",600 MW,,,32.925320,-100.216660,address
73,USA,Texas,Sweetwater,IREN Sweetwater 1,IREN (Iris Energy),Under Construction,"883 Farm-to-Market 611, Sweetwater, Texas 79556",1400 MW,,,32.627981611171,-100.547239169594,address
74,USA,Texas,Nacogdoches,NacSpace Data Center,NacSpace.com,,"2400 North Stallings Drive, Nacogdoches, Texas 75964",,,,31.652301814473,-94.674184330807,address
75,USA,Texas,Dallas,1502 Ferris Rd,Digital Realty,Planned,"1502 Ferris Rd, Garland, Texas 75044",8 MW,"410,000 sq.f.",,32.975131801053,-96.649927262257,address
76,USA,Texas,Dallas,ACS Fort Worth - Building A,Grupo ACS,Planned,"10121 Hicks Field Rd, Fort Worth, Texas 76179",,,,32.908121515079,-97.400714029111,address
77,USA,Texas,Dallas,Rackspace Dallas 2,Rackspace Hosting,,"1215 Integrity Drive, Richardson, Texas 75081",14 MW,"56,179 sq.f.",,32.964890,-96.715715,address
78,USA,Texas,Dallas,Skybox Atlantic Station,Skybox Datacenters,,"2300 W Plano Pkwy, Plano, Texas 75075",100 MW,,,33.007247921582,-96.737609299753,address
79,USA,Texas,Dallas,Lumen Dallas,Lumen,,"3180 Irving Blvd., Dallas, Texas 75247",,,,32.807780964841,-96.867232828641,address
80,USA,Texas,Dallas,907 Security Row (DFW35),Digital Realty,,"907 Security Row, Richardson, Texas 75081",9.6 MW,"50,800 sq.f.",2014,32.964263241729,-96.710597857428,address
81,USA,Texas,Dallas,ColoCrossing DFW1,ColoCrossing,,"3004 Irving Blvd, Dallas, Texas 75247",11.1 MW,"64,000 sq.f.",2000,32.807919,-96.857292,address
82,USA,Texas,Dallas,Epic.io Dallas Data Center,Epic.io,,"1526 Viceroy Dr, Dallas, Texas 75235",,,,32.833386449195,-96.870973755411,address
83,USA,Texas,Dallas,STACK Infrastructure,STACK INFRASTRUCTURE,,"1950 N Stemmons Freeway, Dallas, Texas 75207",,,,32.801543581919,-96.823828523262,address
84,USA,Texas,Dallas,Lumen Dallas 2,Lumen,,"1950 Stemmons Freeway, Dallas, Texas 75207",,,,32.801543581919,-96.823828523262,address
85,USA,Texas,Dallas,Edged Dallas-Fort Worth DFW01-1,Edged Energy,,"505 N Wildwood Dr, Irving, Texas 75061",24 MW,162545 sq.f.,2025,32.817506982326,-96.916929381504,address
86,USA,Texas,Dallas,Aligned DFW-04,Aligned Data Centers,Planned,"601 North Star Rd, Plano, Texas 75074",,425500 sq.f.,,33.005850,-96.657380,address
87,USA,Texas,Dallas,Alpha Data Center,M&A Technology Inc.,,"4407 Alpha Road, Dallas, Texas 75244",2 MW,"6,500 sq.f.",2005,32.933163395951,-96.834716002159,address
88,USA,Texas,Dallas,4099 Hereford Street,Frasier Cole,Land Banked,"4099 Hereford St, Glen Rose, Texas 76043",,,,32.270630953198,-97.799699743318,address
89,USA,Texas,Dallas,8435 Stemmons Freeway (DFW36),Digital Realty,,"8435 Stemmons Freeway, Dallas, Texas 75247",1.2 MW,"11,000 sq.f.",2008,32.827973376275,-96.87344378793,address
90,USA,Texas,Dallas,STACK Infrastructure DFW02 Campus,STACK INFRASTRUCTURE,Under Construction,"E Belt Line Road, Lancaster, Texas 75146",216 MW,,,32.586328,-96.733972,address
91,USA,Texas,Dallas,Google Midlothian Campus,Google,,"3441 Railport Pkwy, Midlothian, Texas 76065",,,2019,32.448927895772,-97.056815922356,address
92,USA,Texas,Dallas,Edged Dallas-Fort Worth DFW01 Campus,Edged Energy,,"505 N Wildwood Dr, Irving, Texas 75061",,,,32.817506982326,-96.916929381504,address
93,USA,Texas,Dallas,Equinix DA12-1,Equinix,Planned,"1550 W Mockingbird Ln, Dallas, Texas 75235",,,2027,32.822198616705,-96.860132862239,address
94,USA,Texas,Dallas,IBM DAL04,IBM,,"400 Akard St, Dallas, Texas 75202",,,,32.778405770928,-96.798998169898,address
95,USA,Texas,Dallas,Csquare - Dallas DFW1,Csquare,,"14901 FAA Blvd, Fort Worth, Texas 76155",,"189,000 sq.f.",,32.832435,-97.040755,address
96,USA,Texas,Dallas,Lincoln Red Oak Campus,Lincoln Property Company,Planned,"Texas along the newly opened Loop 9 highway, Red Oak, Texas 75154",540 MW,"800,000 sq.f.",,32.531793,-96.804855,address
97,USA,Texas,Dallas,Equinix DA2,Equinix,,"1950 North Stemmons Freeway, Suite 2027, Dallas, Texas 75207",,"24,541 sq.f.",,32.801543581919,-96.823828523262,address
98,USA,Texas,Dallas,DataBank Red Oak Campus,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",,,,32.533878306841,-96.735147005902,address
99,USA,Texas,Dallas,Lumen Dallas,Lumen,,"1150 Regal Row, Dallas, Texas 75247",,,,32.82868071606,-96.884188773206,address
100,USA,Texas,Dallas,Prime Dallas - Data Center 2,Prime Data Centers,Planned,"1517 Round Table, Dallas, Texas 75247",12 MW,"34,400 sq.f.",,32.837524593722,-96.879347679098,address
101,USA,Texas,Dallas,GDC - Dallas TX1 Data Center,"NTT DATA, Inc.",,"2008 Lookout Drive, Garland, Texas 75044",16 MW,"230,000 sq.f.",2017,32.982469265755,-96.659647517443,address
102,USA,Texas,Dallas,DataBank DFW11 - Red Oak,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",,,,32.533878306841,-96.735147005902,address
103,USA,Texas,Dallas,DataBank DFW2 - North Dallas,DataBank,,"904 Quality Way, Dallas, Texas 75801",5.7 MW,"41,320 sq.f.",2013,32.966325,-96.711187,address
104,USA,Texas,Dallas,1232 Alma Road (DFW16),Digital Realty,,"1232 Alma Road, Richardson, Texas 75081",6.7 MW,"49,900 sq.f.",,32.963480007522,-96.717178361074,address
105,USA,Texas,Dallas,IBM DAL02/06,IBM,,"1333 North Stemmons Freeway, Suite 110, Dallas, Texas 75207",,,,32.788972483954,-96.813784359462,address
106,USA,Texas,Dallas,Lumen Fort Worth 2,Lumen,,"1101 E 9th St, Fort Worth, Texas 76102",,,,32.749701577369,-96.807934753415,address
107,USA,Texas,Dallas,1000 Coit Road,Lincoln Property Company,,"1000 Coit Rd, Plano, Texas 75075",,,,33.011707716343,-96.766609590998,address
108,USA,Texas,Dallas,Meta Fort Worth Data Center,Meta,,"4500 Like Way, Fort Worth, Texas 76177",,,,32.883615917607,-96.808296246078,address
109,USA,Texas,Dallas,PowerHouse Grand Prairie,PowerHouse Data Centers,Planned,"881 Miller Rd, Midlothian, Texas 76065",,,,32.479269061472,-97.056567639615,address
110,USA,Texas,Dallas,Equinix DA11,Equinix,,"1990 North Stemmons Freeway, Dallas, Texas 75207",,"144,000 sq.f.",2020,32.801683023303,-96.824289212658,address
111,USA,Texas,Dallas,Compass Red Oak - 300 Houston School Rd,Compass Datacenters,,"300 Houston School Rd, Red Oak, Texas 75154",,,,32.53821200729,-96.805262729567,address
112,USA,Texas,Dallas,Equinix DA12 Campus,Equinix,Planned,"1550 W Mockingbird Ln, Dallas, Texas 75235",,,,32.822198616705,-96.860132862239,address
113,USA,Texas,Dallas,365 Data Centers - Richardson,365 Data Centers,,"365 Data Centers, 1001 East Campbell Road, Richardson, Texas 75081",6.2 MW,,,32.976149,-96.707491,address
114,USA,Texas,Dallas,2440 Marsh Lane (DFW12),Digital Realty,,"2440 Marsh Lane, Carrollton, Texas 75006",6.7 MW,"69,800 sq.f.",1998,32.979913360675,-96.85551664628,address
115,USA,Texas,Dallas,QTS South Dallas DC7,QTS Data Centers,Planned,"1341 Sunrise Rd, Wilmer, Texas 75146",,,,32.574113672269,-96.697233959354,address
116,USA,Texas,Dallas,CyrusOne DFW17 - Whitney,CyrusOne Data Centers,Planned,"557 County Rd 3610, Whitney, Texas 76692",,88875 sq.f.,2026,31.940076772999,-97.325080798141,address
117,USA,Texas,Dallas,Edged Dallas-Fort Worth DFW01-2,Edged Energy,Planned,"N Wildwood Dr, Irving, Texas 75061",24 MW,,,32.820511,-96.916867,address
118,USA,Texas,Dallas,H5Colo  Inc.,H5 Colo Inc.,,"12712 Park Central Dr, Suite 200, Dallas, Texas 75251",,"20,000 sq.f.",2008,32.920330667869,-96.776916690776,address
119,USA,Texas,Dallas,QTS South Dallas DC3,QTS Data Centers,Under Construction,"303 Mason Rd, Lancaster, Texas 75146",,,2027,32.583084,-96.692126,address
120,USA,Texas,Dallas,Provision Data Services,Provision Data Services,,"2020 Live Oak, Dallas, Texas 75201",,,,32.783768736081,-96.795046847413,address
121,USA,Texas,Dallas,PowerHouse Irving - Building B,PowerHouse Data Centers,Planned,"111 Customer Way, Irving, Texas 75039",67 MW,,,32.885658434327,-96.93430748095,address
122,USA,Texas,Dallas,CyrusOne DFW6 - Richardson,CyrusOne Data Centers,Under Construction,"1510 E Lookout Dr, Richardson, Texas 75082",,"125,000 sq.f.",,32.98536488783,-96.695234569529,address
123,USA,Texas,Dallas,Hivelocity - Dallas 1,Hivelocity,,"1515 Round Table Dr, Dallas, Texas 75247",,"68,500 sq.f.",,32.837509927436,-96.879424269717,address
124,USA,Texas,Dallas,PowerHouse Irving - Building C,PowerHouse Data Centers,Planned,"111 Customer Way, Irving, Texas 75039",67 MW,,,32.885658434327,-96.93430748095,address
125,USA,Texas,Dallas,TPx Dallas Data Center,TPx Communications,,"717 N Harwood St, Suite 105, Dallas, Texas 75201",,,,32.785594508378,-96.797767385053,address
126,USA,Texas,Dallas,DataBank DFW10 - Red Oak,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",60 MW,200000 sq.f.,,32.533878306841,-96.735147005902,address
127,USA,Texas,Dallas,QTS Irving DC3,QTS Data Centers,,"6351 Longhorn Drive, Irving, Texas 75063",43 MW,,,32.894651010098,-96.980243155947,address
128,USA,Texas,Dallas,STACK Infrastructure DFW01B,STACK INFRASTRUCTURE,,"6715 Pinecrest Dr, Plano, Texas 75024",11 MW,,,33.065252893637,-96.809244823862,address
129,USA,Texas,Dallas,CyrusOne DFW7 - Fort Worth,CyrusOne Data Centers,Under Construction,"Asphalt Dr, Fort Worth, Texas 76179",,,,32.904032,-97.400164,address
130,USA,Texas,Dallas,Lumen Dallas 4,Lumen,,"400 S Akrad, Dallas, Texas 75202",,,,32.778405770928,-96.798998169898,address
131,USA,Texas,Dallas,LightEdge - Dallas,LightEdge,,"2501 State Hwy 121, Building 5, Suite 500, Lewisville, Texas 75067",,,,32.794635288483,-96.801252192488,address
132,USA,Texas,Dallas,Vantage Frontier - Shackelford County,Vantage Data Centers,Under Construction,"TX-351 & Farm to Market Road 604, Abilene, Texas 79601",1400 MW,3700000 sq.f.,,32.552036,-99.565243,address
133,USA,Texas,Dallas,QumulusAI Denton,QumulusAI,Planned,"750 Precision Dr, Denton, Texas 76207",20 MW,,,33.209142382571,-97.173469566669,address
134,USA,Texas,Dallas,Lumen Dallas 3,Lumen,,"1201 Main Street, Dallas, Texas 75202",,,,32.780250444073,-96.801289261722,address
135,USA,Texas,Dallas,Project Orange,Unknown Company,Planned,"201 Sunrise Road, Lancaster, Texas 75146",252 MW,1586410 sq.f.,,32.603768996565,-96.70491202046,address
136,USA,Texas,Dallas,VAZATA Dallas I,VAZATA,,"4025 Midway Road, Carrollton, Texas 75007",3.3 MW,"25,000 sq.f.",2008,33.021332206857,-96.84362028382,address
137,USA,Texas,Dallas,Psychz Dallas,Psychz Networks,,"1515 Roundtable Dr, Dallas, Texas 75457",,,,32.837509927436,-96.879424269717,address
138,USA,Texas,Dallas,LOGIX Fort Worth,LOGIX FIBER NETWORKS,,"307-309 West 7th St, Fort Worth, Texas 76102",,,,32.74899056561,-96.826666747212,address
139,USA,Texas,Dallas,CyrusOne DFW4 - Allen,CyrusOne Data Centers,Planned,"2300 Chelsea Boulevard, Allen, Texas 75013",,,,33.137232556725,-96.663332409777,address
140,USA,Texas,Dallas,Cologix DAL2,Cologix,,"1950 North Stemmons Freeway, Suite 2010, Dallas, Texas 75207",,,,32.801543581919,-96.823828523262,address
141,USA,Texas,Dallas,Neutron Data Center,M&A Technology Inc.,,"13616 Neutron Road, Dallas, Texas 75244",,,,32.933479720925,-96.83490398897,address
142,USA,Texas,Dallas,Google Midlothian - Bldg 5,Google,Under Construction,"3441 Railport Pkwy, Midlothian, Texas 76065",,288000 sq.f.,2027,32.448927895772,-97.056815922356,address
143,USA,Texas,Dallas,QTS South Dallas DC2,QTS Data Centers,Under Construction,"303 Mason Rd, Lancaster, Texas 75146",,,2026,32.583084,-96.692126,address
144,USA,Texas,Dallas,2323 Bryan Street (DFW10),Digital Realty,,"2323 Bryan Street, Dallas, Texas 75201",3.8 MW,"40,100 sq.f.",1982,32.786929610022,-96.79401789536,address
145,USA,Texas,Dallas,Windstream Dallas,Windstream,,"600 N Pearl St, Dallas, Texas 75201",,,,32.787031,-96.795371,address
146,USA,Texas,Dallas,Evocative DAL1,Evocative Data Centers,,"2800 Summit Ave, Plano, Texas 75074",30 MW,,,33.009776426561,-96.678415144762,address
147,USA,Texas,Dallas,Equinix DA6,Equinix,,"1950 North Stemmons Freeway, Suite 3050, Dallas, Texas 75207",,"71,612 sq.f.",,32.801543581919,-96.823828523262,address
148,USA,Texas,Dallas,608 Young Street,Unknown Company,Planned,"608 Young St, Dallas, Texas 75202",,,,32.775985947705,-96.805948831145,address
149,USA,Texas,Dallas,Google Midlothian - Bldg 1,Google,,"3441 Railport Pkwy, Midlothian, Texas 76065",,282000 sq.f.,2019,32.448927895772,-97.056815922356,address
150,USA,Texas,Dallas,CyrusOne DFW11 - Whitney,CyrusOne Data Centers,Planned,"557 County Rd 3610, Whitney, Texas 76692",,88875 sq.f.,2027,31.940076772999,-97.325080798141,address
151,USA,Texas,Dallas,STACK Infrastructure DFW02B,STACK INFRASTRUCTURE,Planned,"E Belt Line Road, Building 2, Lancaster, Texas 75146",36 MW,,,32.586328,-96.733972,address
152,USA,Texas,Dallas,DataBank - 2323 Bryan St,DataBank,,"2323 Bryan St, Dallas, Texas 75201",,,,32.786929610022,-96.79401789536,address
153,USA,Texas,Dallas,4849 Alpha Road (DFW14),Digital Realty,,"4849 Alpha Road, Dallas, Texas 75244",4.5 MW,"31,000 sq.f.",1999,32.933157530732,-96.824598891647,address
154,USA,Texas,Dallas,QTS Irving Campus,QTS Data Centers,,"6431 Longhorn Drive, Irving, Texas 75063",175 MW,,,32.895974347996,-96.981237823225,address
155,USA,Texas,Dallas,Cogent Data Center - Irving,"Cogent Communications, Inc.",,"2511 E Grauwyler Rd, Irving, Texas 75061",1.6 MW,"19,212 sq.f.",,32.830772589443,-96.907447313932,address
156,USA,Texas,Dallas,900 Quality Way (DFW17),Digital Realty,,"900 Quality Way, Richardson, Texas 75081",6.9 MW,"58,000 sq.f.",,32.966738570221,-96.714401622951,address
157,USA,Texas,Dallas,Data Canopy - Dallas,Data Canopy,,"1807 Ross Avenue, Dallas, Texas 75201",,,,32.786224379689,-96.800177236795,address
158,USA,Texas,Dallas,DataBank DFW9 - Red Oak,DataBank,Planned,"Batchler Rd & Stainback Rd, Red Oak, Texas 75154",60 MW,200000 sq.f.,,32.533878306841,-96.735147005902,address
